                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.59771,                0.47862,                  1.139,                0.99863,                      1,                  0.995,                0.96524,                0.27184,                0.26338,                0.84478,             0.00099453,             0.00099453,             0.00099453
                     67,                0.56877,                0.41477,                 1.0886,                0.99841,                      1,                  0.995,                0.97581,                0.25165,                0.24678,                0.83547,             0.00097906,             0.00097906,             0.00097906
                     68,                0.50597,                0.38086,                  1.057,                0.99851,                      1,                  0.995,                0.96478,                0.26104,                 0.2439,                0.83935,             0.00096359,             0.00096359,             0.00096359
                     69,                0.51486,                0.38089,                 1.0595,                 0.9989,                      1,                  0.995,                0.97725,                0.27015,                0.25128,                0.86035,             0.00094812,             0.00094812,             0.00094812
                     70,                0.49927,                0.38493,                 1.0804,                0.99796,                      1,                  0.995,                0.97876,                0.26639,                0.24337,                0.86487,             0.00093266,             0.00093266,             0.00093266
                     71,                0.52879,                0.41458,                 1.0927,                0.99866,                      1,                  0.995,                0.97408,                0.23676,                0.25182,                0.83323,             0.00091719,             0.00091719,             0.00091719
                     72,                0.51175,                0.43903,                 1.0811,                0.99836,                      1,                  0.995,                0.97477,                0.24776,                0.25573,                 0.8527,             0.00090172,             0.00090172,             0.00090172
                     73,                0.52976,                0.39311,                 1.0942,                0.99826,                      1,                  0.995,                0.97658,                0.24536,                 0.2432,                0.86918,             0.00088625,             0.00088625,             0.00088625
                     74,                0.50309,                0.38118,                 1.0821,                0.99862,                      1,                  0.995,                0.97611,                0.22572,                0.22718,                0.84793,             0.00087078,             0.00087078,             0.00087078
                     75,                0.53059,                0.39789,                 1.0866,                0.99885,                      1,                  0.995,                0.97272,                0.24512,                0.26139,                0.87137,             0.00085531,             0.00085531,             0.00085531
                     76,                 0.5621,                0.43154,                 1.0913,                      1,                0.99231,                  0.995,                0.97147,                0.29636,                0.26369,                0.86446,             0.00083984,             0.00083984,             0.00083984
                     77,                0.51817,                 0.3988,                 1.0686,                0.99858,                      1,                  0.995,                0.97027,                0.24775,                0.23554,                0.83154,             0.00082438,             0.00082438,             0.00082438
                     78,                0.50133,                0.38571,                 1.0655,                0.99874,                      1,                  0.995,                0.97359,                0.26298,                0.24677,                0.84277,             0.00080891,             0.00080891,             0.00080891
                     79,                 0.5372,                0.40847,                 1.0921,                0.99882,                      1,                  0.995,                0.96647,                0.29233,                0.23611,                0.84387,             0.00079344,             0.00079344,             0.00079344
                     80,                0.52603,                0.41883,                 1.0833,                0.99884,                      1,                  0.995,                0.98738,                0.22562,                0.20226,                0.81283,             0.00077797,             0.00077797,             0.00077797
                     81,                0.49804,                 0.4009,                 1.0736,                0.99875,                      1,                  0.995,                 0.9838,                0.21712,                0.20532,                0.81282,              0.0007625,              0.0007625,              0.0007625
                     82,                0.48193,                0.36731,                 1.0683,                 0.9989,                      1,                  0.995,                0.97927,                0.21369,                0.20064,                0.80972,             0.00074703,             0.00074703,             0.00074703
